"","title","release_date","duration_ms","duration_min","ology","smologies","encore","part_2","branch","primary","secondary"
"97","Oreamnology (MOUNTAIN GOATS ARE NOT GOATS) with Julie Cunningham","9/8/2022",3979680,66.33,"Oreamnology",0,0,0,"FNS","Biology",NA
"98","Diplopodology (MILLIPEDES & CENTIPEDES) with Dr. Derek Hennen","8/31/2022",4020191,67,"Diplopodology",0,0,0,"FNS","Biology",NA
"99","Critical Ecology (SOCIAL SYSTEMS + ENVIRONMENT) with Suzanne Pierre","8/23/2022",4525391,75.42,"Ecology",0,0,0,"FSS","Biology","Anthropology"
"100","Thanatology — NEW Interview (GRIEF & MOURNING) with Cole Imperi + tips for Going Through It","8/16/2022",4148323,69.14,"Thanatology",0,0,0,"FSS","Psychology","Sociology"
"107","Lutrinology (OTTERS) with Chris J. Law","7/7/2022",3682440,61.37,"Lutrinology",0,0,0,"FNS","Biology",NA
"110","Dipterology (FLIES) with Bryan Lessard","6/14/2022",4364423,72.74,"Dipterology",0,0,0,"FNS","Biology",NA
"111","Gorillaology (GORILLAS) with Tara Stoinski","6/9/2022",3845040,64.08,"Gorillaology",0,0,0,"FNS","Biology",NA
"115","Conotoxinology (CONE SNAIL VENOM) with Joshua Torres & Sabah Ul-Hasan","5/18/2022",3774876,62.91,"Conotoxinology",0,0,0,"FNS","Biology","Medicine"
"116","Urology (CROTCH PARTS) with Fenwa Milhouse","5/12/2022",4685505,78.09,"Urology",0,0,0,"ANS","Medicine","Biology"
"117","Acoustic Ecology (NATURE RECORDINGS) with Eddie Game","5/5/2022",3698285,61.64,"Ecology",0,0,0,"FNS","Biology",NA
"120","Environmental Microbiology (TESTING WASTEWATER FOR DISEASES) with Amy Kirby","4/13/2022",3831928,63.87,"Microbiology",0,0,0,"ANS","Medicine","Biology"
"121","Echinology (SEA URCHINS & SAND DOLLARS) with Rich Mooi","4/5/2022",5598458,93.31,"Echinology",0,0,0,"FNS","Biology",NA
"122","Carnivorous Phytobiology (MEAT-EATING PLANTS) with Hali’a Eastburn","3/30/2022",3994017,66.57,"Phytobiology",0,0,0,"FNS","Biology",NA
"127","Part 1: Attention-Deficit Neuropsychology (ADHD) with Russell Barkley","2/23/2022",6050688,100.84,"Neuropsychology",0,0,0,"ANS","Psychology","Medicine"
"128","Cycadology (RARE PLANT DRAMA) with Nathalie Nagalingum","2/16/2022",3491317,58.19,"Cycadology",0,0,0,"FNS","Biology",NA
"129","Carnivore Ecology (LIONS, TIGERS, & BEARS) with Rae Wynn-Grant","2/9/2022",5654151,94.24,"Ecology",0,0,0,"FNS","Biology",NA
"132","Indigenous Cuisinology (NATIVE COOKING) with Mariah Gladstone of Indigikitchen","1/26/2022",5140793,85.68,"Cuisinology",0,0,0,"FSS","Anthropology",NA
"133","Screamology (LOUD VOCALIZATIONS) with Harold Gouzoules","1/20/2022",4590001,76.5,"Screamology",0,0,0,"FSS","Psychology",NA
"134","Bovine Neuropathology (HEADBUTTING) with Nicole Ackermans","1/13/2022",1957720,32.63,"Neuropathology",0,0,0,"FNS","Biology",NA
"136","Neuropathology (CONCUSSIONS) with Mary Alexis Iaccarino","1/5/2022",4312659,71.88,"Neuropathology",0,0,0,"ANS","Medicine","Biology"
"137","Raccoonology (PROCYONIDS) with A Gaze of Raccoonologists","12/29/2021",1628029,27.13,"Raccoonology",0,0,0,"FNS","Biology",NA
"138","Procyonology (RACCOONS) with Suzanne MacDonald","12/22/2021",3824274,63.74,"Procyonology",0,0,0,"FNS","Biology",NA
"140","Genicular Traumatology (BAD KNEES) with Kevin Stone","12/16/2021",5289116,88.15,"Traumatology",0,0,0,"ANS","Medicine",NA
"143","Forensic Ecology (NATURE DETECTIVE) with Tiara Moore","11/30/2021",3428649,57.14,"Ecology",0,0,0,"ANS","Biology",NA
"146","Tiktokology (THE TIKTOK APP) with Hank Green","11/17/2021",2598623,43.31,"Tiktokology",0,0,0,"FSS","Sociology","Psychology"
"147","Dolorology (PAIN) with Rachel Zoffness","11/10/2021",5654439,94.24,"Dolorology",0,0,0,"ANS","Psychology","Biology"
"148","Teuthological Ludology (ACTUAL SQUID GAMES, NOT THE TV SHOW) with Sarah McAnulty","11/3/2021",3425783,57.1,"Ludology",0,0,0,"FNS","Biology",NA
"149","Smologies #5: VETERINARY BIOLOGY with Vernard Hodges & Terrence Ferguson","11/1/2021",1573943,26.23,"BIOLOGY",1,0,0,"ANS","Medicine","Biology"
"150","Taphology (GRAVESITES) with Robyn S. Lacy","10/27/2021",3872976,64.55,"Taphology",0,0,0,"FSS","Anthropology",NA
"151","Kinetic Salticidology (DANCING SPIDERS) with Sebastian Echeverri","10/20/2021",4473288,74.55,"Salticidology",0,0,0,"FNS","Biology",NA
"155","Pyrotechnology (FIREMAKING) with Ellery Frahm","9/28/2021",4509231,75.15,"Pyrotechnology",0,0,0,"FSS","Sociology","Psychology"
"156","Opossumology (O/POSSUMS) with Lisa Walsh","9/21/2021",4019905,67,"Opossumology",0,0,0,"FNS","Biology",NA
"157","Ciderology (DELICIOUS APPLE BEVERAGE) with Gabe Cook","9/15/2021",4520437,75.34,"Ciderology",0,0,0,"ANS","Agricultural science","Art"
"158","Eudemonology (HAPPINESS) with Laurie Santos","9/8/2021",4233195,70.55,"Eudemonology",0,0,0,"FSS","Psychology","Medicine"
"162","Indigenous Fire Ecology (GOOD FIRE) with Amy Christianson","8/17/2021",3695229,61.59,"Ecology",0,0,0,"FSS","Agricultural science","Anthropology"
"163","Fire Ecology (WILDFIRES) with Gavin Jones","8/10/2021",4610220,76.84,"Ecology",0,0,0,"FNS","Earth science",NA
"165","Systems Biology (MEDICAL MATHEMATICS) with Emily E. Ackerman","8/3/2021",3727386,62.12,"Biology",0,0,0,"AFS","Mathematics","Medicine"
"166","Lampyridology (FIREFLIES) aka Sparklebuttology with Sara Lewis","7/27/2021",3843866,64.06,"Lampyridology', 'Sparklebuttology",0,0,0,"FNS","Biology",NA
"169","Elasmobranchology (MORE NEW SHARK STORIES) with MISS_Elasmo Shark Scientists","7/16/2021",1585423,26.42,"Elasmobranchology",0,0,0,"FNS","Biology",NA
"172","UFOlogy (UNEXPLAINED AERIAL PHENOMENA) with Sarah Scoles and Kate Dorsch","6/29/2021",4227709,70.46,"UFOlogy",0,0,0,"FNS","Sociology","Psychology"
"173","Spheksology (WASPS) with Eric Eaton","6/22/2021",4309577,71.83,"Spheksology",0,0,0,"FNS","Biology",NA
"174","Quarantinology (UM, WHAT HAPPENS NOW?) with Various Ologists","6/15/2021",4585456,76.42,"Quarantinology",0,0,0,"ASS","Jurisprudence",NA
"175","Wildlife Ecology (FIELDWORK) with Corina Newsome","6/8/2021",4532035,75.53,"Ecology",0,0,0,"FNS","Biology",NA
"176","Phallology (PENISES) with Emily Willingham","6/1/2021",4304117,71.74,"Phallology",0,0,0,"FNS","Biology","Psychology"
"177","Pinnipedology (SEALS & WALRUSES) with Luis A. Hückstädt","5/25/2021",4428199,73.8,"Pinnipedology",0,0,0,"FNS","Biology",NA
"179","Foraging Ecology (EATING WILD PLANTS) with @BlackForager, Alexis Nikole Nelson","5/18/2021",4980114,83,"Ecology",0,0,0,"FSS","Agricultural science","Biology"
"180","Biomineralogy (SHELLS) with Robert Ulrich","5/12/2021",3801312,63.36,"Biomineralogy",0,0,0,"FNS","Biology",NA
"181","Speech Language Pathology (TALKING DOGS... AND PEOPLE) with Christina Hunger","5/4/2021",4322403,72.04,"Pathology",0,0,0,"FSS","Psychology",NA
"182","Maritime Archaeology (SHIPWRECKS) with Chanelle Zaphiropoulos","4/27/2021",5798948,96.65,"Archaeology",0,0,0,"FSS","Anthropology",NA
"183","Proptology (THEATER & FILM PROPS) with Jay Duckworth","4/21/2021",4537939,75.63,"Proptology",0,0,0,"ANS","Art","Engineering"
"185","Ursinology (BEARS) with Chris Morgan","4/7/2021",5384359,89.74,"Ursinology",0,0,0,"FNS","Biology",NA
"187","Fanthropology Pt. 2 (FANDOM) with Meredith Levine","3/23/2021",2832248,47.2,"Fanthropology",0,0,0,"FSS","Sociology","Psychology"
"188","Fanthropology (FANDOM) with Meredith Levine","3/16/2021",3620728,60.35,"Fanthropology",0,0,0,"FSS","Sociology","Psychology"
"189","Nephrology (KIDNEYS) with Samira Farouk","3/9/2021",4970553,82.84,"Nephrology",0,0,0,"FNS","Biology","Medicine"
"190","Cicadology (CICADAS) with Gene Kritsky","3/3/2021",4295418,71.59,"Cicadology",0,0,0,"FNS","Biology",NA
"191","Gluteology (BUTTS) with Natalia Reagan","2/23/2021",3907683,65.13,"Gluteology",0,0,0,"FNS","Biology",NA
"192","Molecular Biology (PROTEINS + SCIENCE COMMUNICATION) with Raven “The Science Maven” Baxter","2/16/2021",4472032,74.53,"Biology",0,0,0,"FNS","Biology","Chemistry"
"193","Carobology (NOT-CHOCOLATE TREES) with Megan Lynch","2/10/2021",4801462,80.02,"Carobology",0,0,0,"FNS","Biology",NA
"194","Economic Sociology Pt. 2 (MONEY/FREAKONOMICS) with Steven Levitt and Anna Gifty Opoku-Agyeman","2/2/2021",3277897,54.63,"Sociology",0,0,0,"ASS","Economics",NA
"195","Economic Sociology Pt. 1 (MONEY/FREAKONOMICS) with Anna Gifty Opoku-Agyeman and Steven Levitt","1/26/2021",4706194,78.44,"Sociology",0,0,0,"ASS","Economics",NA
"196","Bilharziology (BLOOD FLUKES) with Anouk N. Gouvras","1/19/2021",2942145,49.04,"Bilharziology",0,0,0,"FNS","Biology",NA
"197","Urban Rodentology (SEWER RATS) with Bobby Corrigan","1/12/2021",4710112,78.5,"Rodentology",0,0,0,"FNS","Biology","Anthropology"
"198","Vaccine Infodemiology (COVID-19 IMMUNITY) with Jessica Malaty Rivera","1/5/2021",5756525,95.94,"Infodemiology",0,0,0,"FNS","Medicine","Biology"
"202","Garology (LONG CUTE ANCIENT PATIENT BOOPABLE NIGHTMARE FISH) with Solomon David","12/15/2020",4410253,73.5,"Garology",0,0,0,"FNS","Biology",NA
"203","Space Archaeology (SPACE JUNK) with Alice Gorman","12/8/2020",4620695,77.01,"Archaeology",0,0,0,"FSS","Anthropology","Astronomy"
"204","Alligator Ecotoxicology (GATOR POISONS) with Laura Kojima","12/1/2020",5058246,84.3,"Ecotoxicology",0,0,0,"FNS","Biology","Chemistry"
"205","Awesomeology (GRATITUDE) with Neil Pasricha","11/24/2020",5183346,86.39,"Awesomeology",0,0,0,"FSS","Psychology","Pedagogy"
"206","Biological Anthropology (APE SEX) with Lara Durgavich","11/17/2020",4995239,83.25,"Anthropology",0,0,0,"FSS","Anthropology","Biology"
"207","Indigenous Fashionology (NATIVE CLOTHING) with Riley Kucheran","11/11/2020",4309185,71.82,"Fashionology",0,0,0,"FSS","Anthropology","Art"
"208","Pedagogology (SCIENCE COMMUNICATION) with Bill Nye","11/3/2020",4347010,72.45,"Pedagogology",0,0,0,"ASS","Pedagogy",NA
"210","Desairology (MORTUARY MAKE-UP) with Monica Torres","10/27/2020",4028238,67.14,"Desairology",0,0,0,"ASS","Anthropology","Art"
"211","Anthropodermic Biocodicology (HUMAN LEATHER BOOKS) with Megan Rosenbloom & Daniel Kirby","10/21/2020",4555807,75.93,"Biocodicology",0,0,0,"FSS","Anthropology","Art"
"212","Forest Entomology (CREEPY CRAWLIES) with Kristen Wickert","10/13/2020",4502177,75.04,"Entomology",0,0,0,"FNS","Biology",NA
"213","Condorology (CONDORS & VULTURES) with Jonathan C. Hall","10/7/2020",4695640,78.26,"Condorology",0,0,0,"FNS","Biology",NA
"214","Political Sociology (VOTER TURNOUT & SUPPRESSION) with Mindy Romero","9/30/2020",4450403,74.17,"Sociology",0,0,0,"FSS","Political science","Jurisprudence"
"215","Fulminology (LIGHTNING) with Chris Giesige","9/23/2020",5373309,89.56,"Fulminology",0,0,0,"FNS","Earth science","Physics"
"216","Mammalogy (MAMMALS) with Danielle N. Lee","9/15/2020",4297456,71.62,"Mammalogy",0,0,0,"FNS","Biology",NA
"218","Cervidology (DEER) Part 1 with Rhiannons Kirton & Jakopak","9/2/2020",3040130,50.67,"Cervidology",0,0,0,"FNS","Biology",NA
"219","Dasyurology (TASMANIAN DEVILS) with Jarrah Dale","8/25/2020",4024320,67.07,"Dasyurology",0,0,0,"FNS","Biology",NA
"221","Experimental Archaeology (OLD TOOLS/ATLATLS) with Angelo Robledo","8/11/2020",6305724,105.1,"Archaeology",0,0,0,"FSS","Anthropology",NA
"222","Toxinology (JELLYFISH VENOM) with Anna Klompen","8/4/2020",4435017,73.92,"Toxinology",0,0,0,"FNS","Biology","Chemistry"
"223","Medusology (JELLYFISH) with Rebecca Helm","7/30/2020",5436682,90.61,"Medusology",0,0,0,"FNS","Biology",NA
"225","Aperiology (MACRO PHOTOGRAPHY) with Joseph Saunders","7/15/2020",5043748,84.06,"Aperiology",0,0,0,"ASS","Art","Biology"
"226","Agnotology (IGNORANCE) with Robert Proctor","7/8/2020",4097854,68.3,"Agnotology",0,0,0,"FSS","Psychology",NA
"227","Bryology (MOSS) with Dr. Robin Wall Kimmerer","6/30/2020",4388519,73.14,"Bryology",0,0,0,"FNS","Biology",NA
"229","Neuroendocrinology (SEX & GENDER) Part 1 with Daniel Pfau","6/16/2020",4196884,69.95,"Neuroendocrinology",0,0,0,"FNS","Biology","Sociology"
"231","Pelicanology (PELICANS) with Juita Martinez","6/4/2020",4093805,68.23,"Pelicanology",0,0,0,"FNS","Biology",NA
"232","Oikology (DECLUTTERING) with Jamie & Filip Hord + Joe Ferrari","5/26/2020",5589916,93.17,"Oikology",0,0,0,"FSS","Psychology",NA
"233","Planariology (VERY COOL WORMS, I PROMISE) with Oné Pagán","5/20/2020",3658840,60.98,"Planariology",0,0,0,"FNS","Biology",NA
"234","Coronasode: Virology Update (COVID-19) with Shannon Bennett & Mike Natter","5/12/2020",4132388,68.87,"Virology",0,0,0,"FNS","Biology","Medicine"
"235","Architectural Technology (COMPUTER PROGRAMMING) with Iddris Sandu","5/5/2020",4278256,71.3,"Technology",0,0,0,"AFS","Computer science","Engineering"
"236","Nassology (TAXIDERMY) with Allis Markham","4/28/2020",5504313,91.74,"Nassology",0,0,0,"ANS","Agricultural science","Biology"
"237","Penguinology (PENGUINS) with Tom Hart","4/21/2020",3525773,58.76,"Penguinology",0,0,0,"FNS","Biology",NA
"238","Gastroegyptology (BREAD BAKING) with Seamus Blackley","4/14/2020",5273547,87.89,"Gastroegyptology",0,0,0,"FSS","Anthropology","Chemistry"
"239","Philematology (KISSING) with Robin Dunbar","4/7/2020",3961338,66.02,"Philematology",0,0,0,"FSS","Anthropology","Psychology"
"240","Plumology (FEATHERS) with Allison Shultz","3/31/2020",4797779,79.96,"Plumology",0,0,0,"FNS","Biology",NA
"243","Veterinary Biology (CRITTER FIXING) with Dr. Vernard Hodges & Dr. Terrence Ferguson","3/18/2020",3867924,64.47,"Biology",0,0,0,"ANS","Medicine","Biology"
"244","Coronasode: Virology (COVID-19) with Dr. Shannon Bennett + various ologists","3/10/2020",5011252,83.52,"Virology",0,0,0,"FNS","Biology","Medicine"
"245","Scatology (POOP) with Rachel Santymire","3/3/2020",3973982,66.23,"Scatology",0,0,0,"FNS","Biology",NA
"246","Volitional Psychology (PROCRASTINATION) with Dr. Joseph R. Ferrari","2/25/2020",3956114,65.94,"Psychology",0,0,0,"FSS","Psychology",NA
"247","Cryoseismology (ICEQUAKES) with Celeste Labedz","2/18/2020",3449182,57.49,"Cryoseismology",0,0,0,"FNS","Earth science","Physics"
"248","Genealogy (FAMILY TREES) with Stephen Hanks","2/11/2020",4104672,68.41,"Genealogy",0,0,0,"FSS","Anthropology",NA
"249","Nephology (CLOUDS) with Rachel Storer","2/4/2020",3414386,56.91,"Nephology",0,0,0,"FNS","Earth science",NA
"251","Diabetology (BLOOD SUGAR) Part 1 with Dr. Mike Natter, MD","1/21/2020",3558191,59.3,"Diabetology",0,0,0,"FNS","Biology","Medicine"
"252","Bisonology (BUFFALO) with various bisonologists","1/15/2020",5548643,92.48,"Bisonology",0,0,0,"FNS","Biology",NA
"253","Futurology (THE FUTURE) with Rose Eveleth","1/7/2020",5316022,88.6,"Futurology",0,0,0,"ANS","Engineering","Anthropology"
"257","Chronobiology (CIRCADIAN RHYTHMS) with Katherine Hatcher","12/10/2019",4353462,72.56,"Chronobiology",0,0,0,"FNS","Biology",NA
"259","Quantum Ontology (WHAT IS REAL?) with Adam Becker","11/26/2019",4756924,79.28,"Ontology",0,0,0,"FFS","Logic","Physics"
"260","Lupinology (WOLVES) with Bridgett vonHoldt","11/19/2019",4577933,76.3,"Lupinology",0,0,0,"FNS","Biology",NA
"261","Molecular Neurobiology (BRAIN CHEMICALS) with Crystal Dilworth","11/12/2019",5237995,87.3,"Neurobiology",0,0,0,"FNS","Biology","Chemistry"
"263","Chiropterology (BATS) Part 1 with Merlin Tuttle","10/29/2019",6044133,100.74,"Chiropterology",0,0,0,"FNS","Biology",NA
"264","Demonology (EVIL SPIRITS) with Alyssa Beall","10/23/2019",4384130,73.07,"Demonology",0,0,0,"FSS","Anthropology","Sociology"
"265","Spidroinology (SPIDERWEBS) with Randy Lewis","10/15/2019",4327627,72.13,"Spidroinology",0,0,0,"FNS","Biology","Engineering"
"266","Cucurbitology (PUMPKINS) with Anne Copeland","10/8/2019",3636453,60.61,"Cucurbitology",0,0,0,"ANS","Agricultural science","Biology"
"267","Osteology (SKELETONS/BODY FARMS) with Daniel Wescott","10/2/2019",4726465,78.77,"Osteology",0,0,0,"FNS","Biology","Anthropology"
"268","Phenology (FALL/SEASONS) with Libby Ellwood","9/24/2019",5110125,85.17,"Phenology",0,0,0,"FNS","Earth science","Anthropology"
"270","Potterology Part 1 (WIZARD SCIENCE) with Rebecca Lai","9/10/2019",4330501,72.18,"Potterology",0,0,0,"FNS","Chemistry","Art"
"271","Vexillology (FLAGS) with E. Tory Laitila","9/3/2019",4723121,78.72,"Vexillology",0,0,0,"FSS","Anthropology","Art"
"273","Disasterology (DISASTERS) with Samantha Montano","8/21/2019",5197923,86.63,"Disasterology",0,0,0,"FSS","Sociology","Jurisprudence"
"275","Saurology (LIZARDS) with Earyn McGee","8/6/2019",4064888,67.75,"Saurology",0,0,0,"FNS","Biology",NA
"276","Graphology (HANDWRITING/FORGERY) with Sylvia Kessler","7/31/2019",3809593,63.49,"Graphology",0,0,0,"FSS","Anthropology",NA
"277","Cnidariology (CORAL) with Shayle Matsuda","7/25/2019",4891297,81.52,"Cnidariology",0,0,0,"FNS","Biology",NA
"278","Disinfectiology (BLEACH) with Evan Rumberger","7/16/2019",3120640,52.01,"Disinfectiology",0,0,0,"FNS","Chemistry","Biology"
"280","Nomology (THE CONSTITUTION) with Franita Tolson","7/2/2019",5419258,90.32,"Nomology",0,0,0,"ASS","Jurisprudence","Political science"
"281","Cabinology (CABINS) with Dale Mulfinger","6/25/2019",3545808,59.1,"Cabinology",0,0,0,"ANS","Engineering","Anthropology"
"282","Disease Ecology (LYME/TICK-BORNE ILLNESSES) with Andrea Swei","6/18/2019",4374857,72.91,"Ecology",0,0,0,"FNS","Biology","Medicine"
"283","Island Ecology (ISLANDS) with Andy Kraemer","6/11/2019",2911033,48.52,"Ecology",0,0,0,"FNS","Earth science","Sociology"
"284","Acarology (TICKS) with Neeta Pardanani Connally","6/5/2019",4797126,79.95,"Acarology",0,0,0,"FNS","Biology",NA
"285","Psychological Traumatology (PTSD & STRESS) with Nicholas Barr","5/28/2019",5301002,88.35,"Traumatology",0,0,0,"FSS","Psychology",NA
"286","Behavioral Ecology (REPRODUCTIVE TRADEOFFS) with Amy Worthington","5/21/2019",2864457,47.74,"Ecology",0,0,0,"FSS","Anthropology","Biology"
"288","Mycology (MUSHROOMS) with Tom Volk","5/14/2019",4582269,76.37,"Mycology",0,0,0,"FNS","Biology",NA
"289","Bufology (TOADS) with Priya Nanjappa","5/7/2019",4146128,69.1,"Bufology",0,0,0,"FNS","Biology",NA
"291","Addictionology (ADDICTION) with Erin Parisi","4/23/2019",5490834,91.51,"Addictionology",0,0,0,"FSS","Psychology","Sociology"
"292","Hagfishology (HAGFISH) with Tim Winegard","4/16/2019",4402128,73.37,"Hagfishology",0,0,0,"FNS","Biology",NA
"293","Scorpiology (SCORPIONS) with Lauren Esposito","4/9/2019",4143124,69.05,"Scorpiology",0,0,0,"FNS","Biology",NA
"295","Victimology (CRIME VICTIMS) with Callie Rennison","3/26/2019",5418109,90.3,"Victimology",0,0,0,"ASS","Jurisprudence","Sociology"
"296","Astrobiology (ALIENS) with Kevin Peter Hand","3/19/2019",4963186,82.72,"Astrobiology",0,0,0,"FNS","Biology","Astronomy"
"297","Ludology (VIDEO GAMES) with Jane McGonigal","3/12/2019",4616986,76.95,"Ludology",0,0,0,"FSS","Anthropology","Computer science"
"298","Etymology (WORD ORIGINS) with Helen Zaltzman of The Allusionist Podcast","3/5/2019",3618899,60.31,"Etymology",0,0,0,"ASS","Pedagogy",NA
"299","Thermophysiology (BODY HEAT) with Shane Campbell-Staton","2/26/2019",5033168,83.89,"Thermophysiology",0,0,0,"FNS","Biology","Physics"
"300","Personality Psychology (PERSONALITIES) with Simine Vazire","2/19/2019",4639634,77.33,"Psychology",0,0,0,"FSS","Psychology",NA
"301","Matrimoniology (MARRIAGE) with Ben Karney","2/12/2019",5546109,92.44,"Matrimoniology",0,0,0,"FSS","Sociology","Psychology"
"302","Biogerontology (AGING) with Caleb Finch","2/5/2019",3109799,51.83,"Biogerontology",0,0,0,"FNS","Biology","Medicine"
"303","Cheloniology (SEA TURTLES) with Camryn Allen","1/29/2019",5045289,84.09,"Cheloniology",0,0,0,"FNS","Biology",NA
"304","Testudinology (TORTOISES) with Amanda Hipps","1/22/2019",4362083,72.7,"Testudinology",0,0,0,"FNS","Biology",NA
